area,value
Mangapapa East,1230
Mangapapa South,2020
Te Hapara East,2070
Centennial Crescent,1660
Whataupoko East,1870
Whataupoko West,2120
Gisborne Central,320
Kaiti North,2270
Kaiti South,3240
Outer Kaiti,2700
Tamarau,2500
Wainui-Okitu,1780
Maungataniwha-Raupunga,1230
Inland water Lake Waikaremoana,0
Frasertown-Ruakituri,900
Whakaki,710
Wairoa,4730
Mahia,1160
Puketitiri-Tutira,1900
Sherenden-Crownthorpe,1350
Maraekakaho,1420
Puketapu-Eskdale,2750
Omahu-Pakowhai,1490
Bridge Pa,1190
Twyford,830
Poukawa,1410
Flaxmere West,2820
Omahu Strip,180
Lochain Park,3120
Flaxmere Park,2750
Flaxmere South,2940
Irongate,360
Frimley,2960
Camberley,2340
Clive,2310
St Leonards,2780
Mahora,2640
Raureka,3190
Cornwall Park,3180
Tomoana,320
Longlands-Pukahu,1980
Raceway Park,2000
Karamu,1350
Hastings Central,470
Tomoana Crossing,2590
Akina Park,2410
Queens Square,2030
Mayfair,3070
Parkhaven,3000
Parkvale,2220
Mangateretere,1180
Haumoana-Te Awanga,2000
Lucknow,1520
Karanema-St Hill,1970
Havelock North-Central,460
Brookvale,2500
Iona,2740
Hereworth,2950
Te Mata Hills,1000
Havelock Hills,1560
Kahuranaki,1460
Bay View,2300
Poraiti Hills,750
Poraiti Flat,1310
Westshore,1180
Inlet Napier city,0
Onekawa West,290
Ahuriri,1180
Taradale West,1890
Greenmeadows West,2050
Taradale South,2720
Bluff Hill,2720
Hospital Hill,2980
Tamatea West,2060
Tamatea North,1740
Taradale Central,2650
Tamatea East,1800
Marewa West,1780
Greenmeadows Central,1510
Onekawa Central,1560
Pirimai West,1660
Napier Central,460
Greenmeadows South,2120
Nelson Park,2260
Bledisloe Park,2390
Pirimai East,2320
Onekawa East,1710
Tareha Reserve,3090
Marewa East,3500
Onekawa South,3310
McLean Park,2650
Maraenui,3690
Meeanee-Awatoto,2620
Mangaonuku,990
Makaretu,2540
Waipawa,2160
Waipukurau West,2600
Mangarara,2490
Waipukurau East,1930
Taurekaitai,1960
Port Taranaki,10
Spotswood,3770
Omata,960
Oakura,1590
Moturoa,1890
Kaitake,1990
Blagdon-Lynmouth,2610
Kawaroa,2440
New Plymouth Central,1160
Marfell,1730
Whalers Gate,2330
Strandon,2600
Westown,4560
Bell Block West,4420
Bell Block East,2900
Waiwhakaiho-Bell Block South,110
Lower Vogeltown,2940
Hurdon,2300
Frankleigh Park,3090
Merrilands,3020
Ferndale,760
Welbourn,3370
Fitzroy-Glen Avon,3620
Waitara West,4140
Upper Vogeltown,2810
Highlands Park (New Plymouth district),3380
Paraite,780
Waitara East,3010
Lepperton-Brixton,1780
Mangorei,2040
Mount Messenger,880
Mangaoraka,1860
Tikorangi,1960
Everett Park,2250
Inglewood,3640
Tarata,590
Pembroke,1580
Douglas,690
Toko,1390
Stratford North,1980
Whangamomona,130
Stratford Central,2120
Stratford South,1820
Cape Egmont,2120
Taungatara,1380
Opunake,1440
Kaponga-Mangatoki,1330
Manaia-Kapuni,1590
Eltham,2000
Okaiawa,1210
Te Roti-Moeroa,800
Egmont Showgrounds,1770
Normanby-Tawhiti,1800
Ohangai,560
Turuturu,1970
King Edward Park,1550
Ramanui,2100
Hawera Central,2690
Mangawhio,750
Manutahi-Waitotora,2050
Patea,1230
Otangiwai-Ohura,1050
Ngapuke,1300
Taumarunui North,1720
Taumarunui Central,1540
Taumarunui East,1590
National Park,1090
Tangiwai,1330
Raetihi,1060
Ohakune,1270
Waiouru,800
Upper Whanganui,1200
Mowhanau,1330
Brunswick-Papaiti,1410
